run_id,UNWIND_THRESHOLD_LONG,UNWIND_THRESHOLD_SHORT,TAKE_PROFIT_LONG,TAKE_PROFIT_SHORT,ASK_SKEW1,ASK_SKEW2,BID_SKEW1,BID_SKEW2,PRICE_OFFSET_ASK,PRICE_OFFSET_BID,total_pnl,pnl_EMERALDS,pnl_TOMATOES,duration_s
85,10,-10,10,-20,-1,-3,1,3,1,1,30045.5,14490.0,15555.5,1.81
86,10,-10,10,-20,-1,-3,1,3,1,2,28645.5,14490.0,14155.5,1.8
87,10,-10,10,-20,-1,-3,1,3,2,1,28738.5,14490.0,14248.5,1.77
88,10,-10,10,-20,-1,-3,1,3,2,2,27338.5,14490.0,12848.5,1.94
89,10,-10,10,-20,-1,-3,2,2,1,1,30045.5,14490.0,15555.5,1.81
90,10,-10,10,-20,-1,-3,2,2,1,2,28645.5,14490.0,14155.5,1.8
91,10,-10,10,-20,-1,-3,2,2,2,1,28738.5,14490.0,14248.5,1.78
92,10,-10,10,-20,-1,-3,2,2,2,2,27338.5,14490.0,12848.5,1.77
93,10,-10,10,-20,-1,-3,2,3,1,1,30045.5,14490.0,15555.5,1.78
94,10,-10,10,-20,-1,-3,2,3,1,2,28645.5,14490.0,14155.5,1.78
95,10,-10,10,-20,-1,-3,2,3,2,1,28738.5,14490.0,14248.5,1.77
96,10,-10,10,-20,-1,-3,2,3,2,2,27338.5,14490.0,12848.5,1.76
97,10,-10,10,-20,-2,-2,1,2,1,1,30045.5,14490.0,15555.5,1.79
98,10,-10,10,-20,-2,-2,1,2,1,2,28645.5,14490.0,14155.5,1.81
99,10,-10,10,-20,-2,-2,1,2,2,1,28738.5,14490.0,14248.5,2.19
100,10,-10,10,-20,-2,-2,1,2,2,2,27338.5,14490.0,12848.5,1.94
101,10,-10,10,-20,-2,-2,1,3,1,1,30045.5,14490.0,15555.5,1.82
102,10,-10,10,-20,-2,-2,1,3,1,2,28645.5,14490.0,14155.5,1.92
103,10,-10,10,-20,-2,-2,1,3,2,1,28738.5,14490.0,14248.5,1.84
104,10,-10,10,-20,-2,-2,1,3,2,2,27338.5,14490.0,12848.5,1.79
105,10,-10,10,-20,-2,-2,2,2,1,1,30045.5,14490.0,15555.5,1.79
106,10,-10,10,-20,-2,-2,2,2,1,2,28645.5,14490.0,14155.5,1.87
107,10,-10,10,-20,-2,-2,2,2,2,1,28738.5,14490.0,14248.5,2.06
108,10,-10,10,-20,-2,-2,2,2,2,2,27338.5,14490.0,12848.5,1.93
109,10,-10,10,-20,-2,-2,2,3,1,1,30045.5,14490.0,15555.5,1.88
110,10,-10,10,-20,-2,-2,2,3,1,2,28645.5,14490.0,14155.5,2.09
111,10,-10,10,-20,-2,-2,2,3,2,1,28738.5,14490.0,14248.5,1.91
112,10,-10,10,-20,-2,-2,2,3,2,2,27338.5,14490.0,12848.5,1.89
113,10,-10,10,-20,-2,-3,1,2,1,1,30045.5,14490.0,15555.5,1.79
114,10,-10,10,-20,-2,-3,1,2,1,2,28645.5,14490.0,14155.5,1.78
115,10,-10,10,-20,-2,-3,1,2,2,1,28738.5,14490.0,14248.5,1.77
116,10,-10,10,-20,-2,-3,1,2,2,2,27338.5,14490.0,12848.5,1.83
117,10,-10,10,-20,-2,-3,1,3,1,1,30045.5,14490.0,15555.5,2.01
118,10,-10,10,-20,-2,-3,1,3,1,2,28645.5,14490.0,14155.5,1.87
119,10,-10,10,-20,-2,-3,1,3,2,1,28738.5,14490.0,14248.5,1.84
120,10,-10,10,-20,-2,-3,1,3,2,2,27338.5,14490.0,12848.5,1.87
